INFO:root:Episode 611,Reward = 166.069147
INFO:root:Episode 612,Reward = 414.216471
INFO:root:Episode 613,Reward = 375.357089
INFO:root:Episode 614,Reward = 75.947401
INFO:root:Episode 615,Reward = 191.707266
INFO:root:Episode 616,Reward = 89.368462
INFO:root:Episode 617,Reward = 211.170880
INFO:root:Episode 618,Reward = 176.455257
INFO:root:Episode 619,Reward = 130.409176
INFO:root:Episode 620,Reward = 60.958540
INFO:root:Episode 621,Reward = 137.784951
INFO:root:Episode 622,Reward = 6.216422
INFO:root:Episode 623,Reward = 88.417701
INFO:root:Episode 624,Reward = 361.580013
INFO:root:Episode 625,Reward = 722.505335
INFO:root:Episode 626,Reward = 165.695964
INFO:root:Episode 627,Reward = 96.865169
INFO:root:Episode 628,Reward = 4.792082
INFO:root:Episode 629,Reward = 60.569825
INFO:root:Episode 630,Reward = 70.871652
INFO:root:Episode 631,Reward = 94.994917
INFO:root:Episode 632,Reward = 21.621835
INFO:root:Episode 633,Reward = 251.932054
INFO:root:Episode 634,Reward = 101.088359
INFO:root:Episode 635,Reward = 66.018756
INFO:root:Episode 636,Reward = 74.599448
